make,model,seating_capacity,transmission_type,fuel_tank_capacity,body,rating,starting_price,ending_price,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp
Kia,Sorento,7,automatic,75,SUV,3.6,17942,24196,212,1215,101,5146
Buick,Verano,5,Automatic,73,Sedan,4.7,7960,11922,394,2167,286,4421
Chevrolet,Suburban,7,automatic,65,SUV,4.9,48577,62902,359,2207,305,5367
BMW,3 Series,5,automatic,75,Sedan,3.6,27514,39058,369,3224,364,4921
BMW,M5,5,automatic,47,Sedan,4.1,56651,78730,322,2656,218,6812
BMW,3 Series,5,automatic,71,Sedan,3.9,22601,30794,294,2841,236,5718
Cadillac,ELR,5,automatic,62,Coupe,3.7,41737,48147,126,1622,230,6206
Hyundai,Sonata,5,automatic,60,Sedan,3.9,9207,10745,356,3924,134,4459
BMW,6 Series,5,automatic,78,Convertible,3.5,58817,71649,493,3078,130,5152
Volvo,V60,5,automatic,59,Wagon,4.2,24770,33621,234,3743,156,6386
Chevrolet,Cruze,5,Automatic,61,Sedan,4.4,1808,2300,292,2294,361,4459
BMW,X6,7,automatic,50,SUV,4.0,47073,58529,468,2606,152,5639
Volvo,V60,5,automatic,62,Wagon,4.3,25633,38326,240,3889,393,5597
Chevrolet,Cruze,5,automatic,67,Sedan,4.5,11652,16304,282,2635,221,5901
Acura,ILX,5,automatic,58,Sedan,3.8,17757,23442,239,1258,201,5440
Kia,Sorento,7,automatic,79,SUV,4.6,17925,23651,161,1295,296,4153
Volvo,V60,5,automatic,71,Wagon,4.4,26063,34465,202,1665,184,4963
Nissan,Altima,5,automatic,51,Sedan,4.3,10668,14242,335,3375,336,4452
BMW,6 Series Gran Coupe,5,automatic,77,Sedan,4.1,58180,82745,198,1367,294,4461
Nissan,Altima,5,automatic,79,Sedan,3.9,9455,12090,447,3198,251,5424
Kia,K900,5,automatic,67,Sedan,4.4,32178,42101,279,1694,299,5148
Kia,Sorento,7,automatic,76,SUV,4.7,18689,22497,469,2745,144,6469
Chevrolet,Malibu,5,automatic,68,Sedan,4.0,8047,12281,159,1473,167,4022
Lexus,RX 350,7,automatic,65,SUV,4.7,36116,42716,220,3756,176,6784
Kia,Sorento,7,automatic,40,SUV,3.9,16328,21425,388,3028,284,4773
BMW,M5,5,automatic,74,Sedan,4.8,63940,91567,487,1452,185,4089
Kia,K900,5,automatic,78,Sedan,4.6,36672,43685,481,2601,96,6757
Audi,A3,5,automatic,72,Sedan,4.9,16143,19372,152,2171,221,5129
Nissan,Versa,5,manual,61,Sedan,4.9,9083,13702,359,2021,351,4158
Chevrolet,Camaro,5,automatic,61,Coupe,3.8,17385,24633,127,3771,268,6133
Hyundai,Elantra,5,automatic,49,Sedan,4.8,9110,13416,459,1883,350,6028
Kia,Sorento,7,automatic,59,SUV,3.7,17205,24671,272,3989,348,6590
Chevrolet,Camaro,5,automatic,48,Coupe,4.7,17352,20672,301,3614,269,4339
Audi,A3,5,automatic,62,Sedan,4.7,21558,27226,355,2206,313,6090
BMW,6 Series,5,automatic,76,Convertible,3.8,56639,78348,381,3810,381,6678
Nissan,Versa Note,5,automatic,46,Hatchback,3.9,8446,11452,212,2948,164,6624
Audi,A8,5,automatic,40,Sedan,3.6,42460,64412,274,1298,125,5831
BMW,X1,7,automatic,41,SUV,4.4,24709,32245,126,1855,328,4536
BMW,nan,5,automatic,47,Sedan,3.8,58525,80317,305,3709,163,4205
Chevrolet,Camaro,5,automatic,74,Coupe,4.4,12144,15649,403,3213,351,6496
Volvo,V60,5,automatic,69,Wagon,3.8,22499,33839,214,3910,144,6813
BMW,6 Series,5,automatic,57,Coupe,3.7,57087,71581,394,3784,380,6279
Chevrolet,Camaro,5,automatic,43,Coupe,4.4,12105,15722,441,2230,291,5285
BMW,6 Series Gran Coupe,5,automatic,50,Sedan,4.1,47124,69610,330,3343,293,5591
Kia,Sorento,7,automatic,67,SUV,3.8,18132,26926,305,2079,317,5486
Kia,Sorento,7,automatic,75,SUV,4.7,20125,24314,183,3938,268,5024
Buick,Enclave,7,automatic,43,SUV,3.7,20554,30705,186,2847,169,4391
BMW,M5,5,automatic,75,Sedan,4.1,54083,76311,131,1451,308,4342
BMW,M5,5,automatic,66,Sedan,3.8,53299,84610,236,1518,130,6025
Audi,TTS,5,automatic,40,Coupe,3.7,28738,40920,459,3048,316,6127
Hyundai,Elantra,5,automatic,73,Sedan,4.7,9980,13178,244,1582,229,5286
BMW,4 Series,5,automatic,61,Coupe,3.7,35992,43681,121,3512,343,5546
Kia,Sorento,7,automatic,42,SUV,5.0,19749,23068,391,3529,252,4733
Chevrolet,Cruze,5,automatic,58,Sedan,4.7,12040,15448,473,2462,356,6872
Chevrolet,Cruze,5,automatic,65,Sedan,4.3,12207,14315,154,1993,265,5051
Chevrolet,Silverado 2500HD,5,Automatic,55,Crew Cab,3.7,30162,43122,413,3718,380,6121
Kia,Sorento,7,automatic,55,SUV,3.8,19289,24696,269,1701,105,4084
Hyundai,Elantra,5,automatic,48,Sedan,4.9,9427,10812,470,2767,397,4480
Hyundai,Elantra,5,automatic,55,Sedan,4.4,11692,17097,158,3422,218,6238
Acura,MDX,7,automatic,53,SUV,4.7,37165,49814,137,3369,304,6387
Ford,Fusion,5,automatic,63,Sedan,3.7,9737,14534,156,3190,308,6123
BMW,6 Series,5,automatic,69,Convertible,4.2,60563,73526,253,2565,144,5062
Chevrolet,Cruze,5,automatic,64,Sedan,4.0,9149,12795,382,1316,134,4226
Chevrolet,Silverado 1500,5,automatic,54,Crew Cab,4.6,25028,37637,169,3191,305,5697
Chevrolet,Cruze,5,automatic,77,Sedan,4.7,11642,15976,187,3921,219,6328
Kia,Sorento,7,automatic,43,SUV,4.7,18249,23275,382,2366,214,5802
Chevrolet,Cruze,5,automatic,51,Sedan,5.0,2810,3544,187,3973,345,5449
Volvo,V60,5,automatic,48,Wagon,4.4,26711,38056,455,2812,317,6027
Chevrolet,Camaro,5,manual,48,Coupe,4.4,15847,23647,259,2117,159,4230
Nissan,Altima,5,automatic,43,Sedan,4.7,8419,11949,210,2188,269,5567
BMW,6 Series,5,automatic,50,Convertible,3.9,53636,71914,314,3279,197,4143
Hyundai,Elantra,5,automatic,50,Sedan,3.6,4787,6177,351,2199,200,6980
BMW,5 Series,5,automatic,57,Sedan,4.8,38182,57366,166,2927,119,6479
BMW,6 Series,5,automatic,76,Convertible,3.8,52972,76263,327,1345,208,4851
Kia,Sorento,7,automatic,53,SUV,3.8,18506,24700,268,2443,354,4618
Cadillac,SRX,7,automatic,55,SUV,4.0,25248,33746,345,3015,339,5479
BMW,X5,7,automatic,58,SUV,3.7,53263,68842,190,2639,167,6778
Hyundai,Elantra,5,automatic,50,Sedan,3.6,8307,11148,331,3956,109,4091
Chevrolet,Cruze,5,Manual,61,Sedan,4.2,9460,15159,157,1826,171,4607
Chevrolet,Silverado 1500,5,automatic,50,Crew Cab,4.8,27488,35664,416,3382,289,4930
Kia,Sorento,7,automatic,77,SUV,4.7,18072,24158,226,1476,264,6943
Kia,Sorento,7,automatic,80,SUV,4.5,19134,24672,470,3060,338,5978
Acura,ILX,5,automatic,56,Sedan,4.7,16882,23269,345,3100,239,4892
Kia,Sorento,7,automatic,75,SUV,3.9,18063,23632,199,2260,152,6601
Volvo,V60,5,automatic,47,Wagon,3.7,24154,32930,182,2464,169,4359
Chevrolet,Camaro,5,automatic,54,Coupe,3.5,8393,10776,327,1462,190,4518
Chevrolet,Cruze,5,automatic,60,Sedan,4.4,11660,15533,267,3449,130,6726
Hyundai,Elantra,5,automatic,69,Sedan,4.3,5971,7577,147,3480,139,4351
Infiniti,G Coupe,5,automatic,43,G Coupe,4.1,21558,31692,190,2687,124,4802
Infiniti,G Sedan,5,automatic,51,G Sedan,4.2,25515,30131,432,1471,292,4612
Infiniti,G Sedan,5,automatic,76,G Sedan,4.7,21160,27696,231,1365,177,6307
Infiniti,G Coupe,5,automatic,42,G Coupe,4.6,23662,28637,239,1493,383,4170
Infiniti,G Coupe,5,automatic,80,G Coupe,3.8,24318,30900,352,1518,190,4130
Infiniti,G Sedan,5,automatic,72,G Sedan,3.8,20092,25273,435,3428,171,5083
Infiniti,G Sedan,5,automatic,75,G Sedan,4.6,21969,26155,347,3770,233,5673
Infiniti,FX,7,automatic,69,SUV,4.3,27636,39462,193,2110,139,5295
Infiniti,G Sedan,5,automatic,47,G Sedan,4.9,18305,23901,439,3943,250,4359
Hyundai,Santa Fe,7,automatic,49,SUV,4.5,23074,32674,264,2242,332,5397
Hyundai,Genesis,5,automatic,68,Sedan,3.7,24761,30916,238,3059,167,5756
Hyundai,Equus,5,automatic,55,Sedan,4.0,22077,30769,361,2148,365,5265
Infiniti,G Sedan,5,automatic,73,G Sedan,4.2,22989,27418,160,2898,261,6097
Hyundai,Elantra,5,automatic,60,Sedan,4.5,9517,11428,333,2226,223,6773
Hyundai,Santa Fe,7,automatic,51,SUV,4.4,25351,33625,252,2718,381,5001
Hyundai,Elantra,5,automatic,76,Sedan,4.9,10108,11610,402,2786,352,4513
Infiniti,G Coupe,5,automatic,71,G Coupe,4.6,24664,30426,274,2156,361,5847
Hyundai,Elantra,5,automatic,74,Sedan,4.8,7042,10508,431,1295,144,4168
Infiniti,G Sedan,5,automatic,68,G Sedan,4.6,20105,28470,136,1454,136,4158
Infiniti,G Coupe,5,automatic,58,G Coupe,4.0,22125,30760,318,3521,377,6709
Hyundai,Sonata,5,automatic,77,Sedan,4.8,9584,14079,148,3025,218,6707
Hyundai,Elantra,5,manual,77,Sedan,5.0,11268,12981,261,2013,356,5864
Hyundai,Sonata,5,automatic,62,Sedan,3.7,10768,12621,330,2217,330,6957
Hyundai,Elantra,5,automatic,55,Sedan,3.7,9804,13256,171,3684,232,6512
Hyundai,Sonata Hybrid,5,automatic,72,Sedan,3.6,15626,20969,301,2140,173,6813
Infiniti,G Sedan,5,automatic,73,G Sedan,4.3,21534,27318,396,1574,316,4641
Hyundai,Sonata Hybrid,5,automatic,53,Sedan,4.9,15180,20286,357,1343,349,6627
Hyundai,Santa Fe,7,automatic,72,SUV,4.0,16281,23374,410,2978,101,4223
Infiniti,G Sedan,5,automatic,78,G Sedan,4.3,18439,24125,487,2580,162,4315
Infiniti,G Sedan,5,automatic,57,G Sedan,4.8,21843,25355,500,1888,120,5982
Infiniti,G Sedan,5,automatic,71,G Sedan,4.4,19093,25771,433,2047,340,4908
Infiniti,G Sedan,5,automatic,49,G Sedan,3.5,20930,26950,390,2997,141,4339
Infiniti,G Coupe,5,automatic,43,G Coupe,3.8,21438,34067,188,2464,180,6642
Infiniti,G Sedan,5,automatic,46,G Sedan,4.7,18918,27951,143,2571,338,5328
Hyundai,Sonata,5,automatic,57,Sedan,4.6,10942,15152,371,2173,163,5990
Hyundai,Santa Fe,7,automatic,65,SUV,4.9,22411,28247,214,1838,198,5721
Hyundai,Sonata,5,automatic,56,Sedan,3.8,10108,13811,238,2973,352,4287
Hyundai,Sonata,5,automatic,45,Sedan,4.4,14261,20932,219,2901,355,5906
Hyundai,Elantra,5,automatic,47,Sedan,4.6,9589,12843,403,3354,316,6273
Hyundai,Sonata Hybrid,5,automatic,76,Sedan,4.9,15917,22129,397,2344,358,4276
Hyundai,Elantra,5,automatic,76,Sedan,4.5,5843,7386,494,2796,344,4875
Infiniti,G Sedan,5,automatic,58,G Sedan,4.8,20963,26799,294,1837,261,4386
Infiniti,G Sedan,5,automatic,78,G Sedan,4.5,18890,26679,406,3565,323,5322
Infiniti,G Sedan,5,automatic,66,G Sedan,4.2,20872,25227,388,2419,278,4833
Infiniti,G Sedan,5,automatic,60,G Sedan,3.7,20864,25156,217,1724,341,5364
Infiniti,G Sedan,5,automatic,78,G Sedan,3.6,18559,27118,368,3988,245,6648
Infiniti,G Sedan,5,automatic,69,G Sedan,4.0,17200,25053,394,1524,358,5733
Hyundai,Elantra,5,automatic,79,Sedan,4.6,9679,11791,256,2912,113,5182
Hyundai,Santa Fe,7,automatic,74,SUV,4.9,22012,26450,256,1619,230,4179
Infiniti,G Sedan,5,automatic,55,G Sedan,4.8,21783,30325,365,2755,108,6405
Infiniti,G Sedan,5,automatic,78,G Sedan,4.9,22648,25907,355,3372,344,5220
Hyundai,Sonata,5,automatic,46,Sedan,4.5,15353,19050,301,1875,199,6901
Infiniti,G Sedan,5,automatic,72,G Sedan,3.5,19151,23594,312,2262,167,6829
Hyundai,Accent,5,automatic,55,Sedan,4.6,7197,9475,124,2059,337,4637
Infiniti,G Sedan,5,automatic,43,G Sedan,4.7,20477,27427,255,2191,285,5437
Hyundai,Veloster,5,automatic,56,Hatchback,3.9,13095,18486,165,2658,378,6011
Infiniti,G Coupe,5,automatic,80,G Coupe,4.5,22403,32058,198,2561,205,5448
Hyundai,Accent,5,automatic,76,Sedan,4.0,3272,3777,468,3335,140,5612
Hyundai,Elantra Coupe,5,automatic,48,Elantra Coupe,4.4,14562,16994,490,3984,106,5747
Infiniti,G Coupe,5,automatic,79,G Coupe,3.7,23092,32887,425,3114,250,6393
Infiniti,G Sedan,5,automatic,63,G Sedan,4.3,21864,32203,376,2083,397,4644
Infiniti,G Sedan,5,automatic,52,G Sedan,3.7,20122,30502,203,2061,196,4504
Infiniti,G Sedan,5,automatic,67,G Sedan,3.6,21766,31636,389,3261,146,5057
Infiniti,G Sedan,5,automatic,57,G Sedan,3.6,17812,27039,408,1967,196,6089
Infiniti,G Sedan,5,automatic,54,G Sedan,4.6,17203,24145,391,2031,315,4789
Hyundai,Sonata,5,automatic,68,Sedan,3.9,6123,7748,281,1992,286,6267
Infiniti,G Sedan,5,automatic,72,G Sedan,4.9,19319,24078,354,3307,356,6915
Infiniti,G Sedan,5,automatic,56,G Sedan,4.2,20800,28423,188,2553,137,5804
Infiniti,G Sedan,5,automatic,66,G Sedan,4.3,15904,20571,240,1809,300,5310
Hyundai,Sonata,5,automatic,80,Sedan,4.5,11794,16331,127,2440,255,6400
Infiniti,G Sedan,5,automatic,65,G Sedan,3.8,17152,22258,419,2561,341,5461
Hyundai,Sonata Hybrid,5,automatic,52,Sedan,4.0,14869,23092,130,3728,363,5599
Hyundai,Accent,5,automatic,46,Hatchback,3.7,10670,12720,227,2023,398,4373
Hyundai,Elantra,5,automatic,72,Sedan,4.7,9858,13109,235,3505,303,4321
Infiniti,G Sedan,5,automatic,70,G Sedan,3.6,21483,28871,179,3019,98,5124
Infiniti,FX,7,automatic,45,SUV,4.7,21801,34163,406,3513,115,5841
Hyundai,Elantra,5,automatic,45,Sedan,5.0,7835,9763,495,2581,246,6710
Infiniti,G Sedan,5,automatic,58,G Sedan,3.6,19546,28024,201,3521,108,5855
Infiniti,G Sedan,5,automatic,54,G Sedan,4.4,22469,30655,462,2368,260,5340
Hyundai,Accent,5,automatic,46,Sedan,4.9,8817,10361,497,3411,297,5589
Hyundai,Azera,5,automatic,80,Sedan,3.6,17893,21801,440,3564,207,5636
Hyundai,Santa Fe,7,automatic,50,SUV,4.8,23814,30430,321,2549,112,5897
Hyundai,Elantra,5,automatic,54,Sedan,3.5,6088,8372,448,2411,157,4546
Hyundai,Sonata Hybrid,5,automatic,80,Sedan,4.7,14057,15920,242,1474,138,4222
Infiniti,G Sedan,5,automatic,56,G Sedan,4.1,14779,23622,406,2957,336,5714
Hyundai,Elantra,5,automatic,63,Sedan,4.7,8138,11264,288,1684,336,6152
Infiniti,G Coupe,5,automatic,41,G Coupe,4.0,19996,23638,226,2041,253,6107
Infiniti,G Coupe,5,automatic,43,G Coupe,4.8,21196,27862,154,1715,115,6060
Infiniti,G Sedan,5,automatic,41,G Sedan,3.6,17933,26053,486,3599,306,4169
Infiniti,G Sedan,5,automatic,48,G Sedan,3.9,18987,25677,281,3368,346,4941
Hyundai,Tucson,7,automatic,49,SUV,4.7,15713,22671,141,2374,99,4319
Infiniti,G Sedan,5,automatic,79,G Sedan,5.0,21721,25992,386,3009,226,4313
Infiniti,G Sedan,5,automatic,41,G Sedan,4.8,17856,22909,379,1834,273,6657
Hyundai,Sonata,5,automatic,73,Sedan,4.9,11225,15701,474,1556,275,6837
Hyundai,Elantra,5,automatic,59,Sedan,4.5,14404,18870,302,3610,274,4244
Hyundai,Azera,5,automatic,51,Sedan,5.0,17650,27202,406,2609,222,5439
Infiniti,G Sedan,5,automatic,43,G Sedan,4.7,23526,32447,367,3977,205,6057
Infiniti,G Sedan,5,automatic,63,G Sedan,4.5,21989,31108,276,1569,279,6187
Infiniti,G Sedan,5,automatic,41,G Sedan,4.8,18530,23925,229,3546,316,4778
Hyundai,Sonata Hybrid,5,automatic,61,Sedan,4.7,16606,21223,414,3211,247,5229
Infiniti,G Sedan,5,automatic,54,G Sedan,4.8,17017,19735,430,2179,316,6878
Hyundai,Azera,5,automatic,50,Sedan,4.4,20835,27272,158,2558,397,4210
Infiniti,G Coupe,5,automatic,63,G Coupe,4.2,24121,30105,305,1337,188,5430
Hyundai,Sonata,5,automatic,53,Sedan,4.4,9520,13454,382,3428,256,4483
Infiniti,G Sedan,5,automatic,76,G Sedan,3.9,19307,28372,337,2799,387,4339
Hyundai,Genesis,5,automatic,73,Sedan,4.0,22507,32616,312,3117,233,5864
Hyundai,Equus,5,automatic,65,Sedan,4.7,23728,32272,275,3931,265,6963
Infiniti,G Sedan,5,automatic,60,G Sedan,3.6,22408,31084,250,3986,292,6676
Hyundai,Sonata,5,automatic,61,Sedan,4.2,10432,13835,413,2473,348,6072
Hyundai,Elantra,5,automatic,43,Sedan,3.7,7306,10828,441,2722,96,6943
Hyundai,Elantra,5,automatic,62,Sedan,4.5,10137,11601,348,2352,238,6595
Infiniti,G Sedan,5,automatic,80,G Sedan,4.5,19332,27221,171,1807,239,6441
Infiniti,G Sedan,5,automatic,76,G Sedan,3.8,19184,25087,387,1489,188,4222
Infiniti,G Sedan,5,automatic,77,G Sedan,4.0,19509,28162,392,2993,98,4823
Hyundai,Elantra,5,automatic,59,Sedan,4.6,3742,5714,163,2701,335,5321
Infiniti,G Sedan,5,automatic,67,G Sedan,4.4,18907,27861,339,1680,141,6529
Hyundai,Veloster,5,automatic,74,Hatchback,4.7,14830,18621,244,3220,246,4446
Infiniti,G Sedan,5,automatic,58,G Sedan,4.9,20681,28187,387,2481,181,4824
Infiniti,G Sedan,5,automatic,76,G Sedan,4.3,19709,26575,410,2755,193,5905
Hyundai,Sonata Hybrid,5,automatic,61,Sedan,4.5,13261,18839,394,2166,110,4606
Infiniti,G Sedan,5,automatic,51,G Sedan,4.9,18238,22794,366,2365,271,5123
Infiniti,G Sedan,5,automatic,64,G Sedan,4.2,21638,30344,140,1810,108,4947
Hyundai,Sonata,5,automatic,74,Sedan,3.7,6866,9036,192,2191,374,6681
Infiniti,G Coupe,5,automatic,67,G Coupe,5.0,20214,29067,466,3870,339,5668
Infiniti,G Sedan,5,automatic,57,G Sedan,3.6,19842,26575,158,2253,389,5981
Hyundai,Elantra,5,automatic,78,Sedan,4.2,8643,10771,479,2928,294,4061
Infiniti,G Coupe,5,automatic,47,G Coupe,4.2,22178,27399,377,1308,121,4526
Hyundai,Azera,5,automatic,75,Sedan,4.2,19480,26013,423,1242,385,6942
Hyundai,Sonata Hybrid,5,automatic,66,Sedan,4.2,15784,21703,198,3109,274,6474
Infiniti,G Sedan,5,automatic,73,G Sedan,4.9,20823,25396,413,2485,400,4209
Hyundai,Accent,5,automatic,76,Sedan,3.6,6637,8278,174,3724,254,5091
Infiniti,G Sedan,5,automatic,67,G Sedan,4.7,16869,24723,199,2973,252,6963
Hyundai,Accent,5,automatic,58,Hatchback,4.2,10576,13589,408,3659,183,6036
Hyundai,Elantra,5,automatic,55,Sedan,4.9,10142,13368,396,2421,199,6787
Infiniti,G Sedan,5,automatic,58,G Sedan,3.7,18684,24491,362,2266,393,5303
Hyundai,Sonata,5,automatic,72,Sedan,4.6,8121,10989,138,3193,383,6000
Hyundai,Sonata,5,automatic,69,Sedan,3.6,9911,14384,175,2419,212,5252
Infiniti,G Coupe,5,automatic,51,G Coupe,4.3,22467,33050,227,3279,336,4528
Infiniti,G Sedan,5,automatic,46,G Sedan,4.0,23807,28167,422,1597,319,5135
Infiniti,G Sedan,5,automatic,56,G Sedan,4.6,19661,26182,304,1701,120,4469
Hyundai,Sonata,5,automatic,72,Sedan,3.8,14070,19656,136,1999,185,4750
Infiniti,G Coupe,5,automatic,52,G Coupe,4.9,21331,32130,341,3297,379,6208
Hyundai,Genesis,5,automatic,52,Sedan,3.9,18306,23970,287,3952,216,6351
Hyundai,Santa Fe,7,automatic,79,SUV,3.6,18539,23302,435,1946,261,4811
Hyundai,Sonata,5,automatic,66,Sedan,3.5,10266,15051,480,3913,251,6005
Hyundai,Elantra,5,automatic,80,Sedan,4.4,9713,13832,256,1649,129,4605
Infiniti,G Sedan,5,automatic,41,G Sedan,4.2,20109,27987,333,3469,114,4789
Hyundai,Genesis,5,automatic,69,Sedan,4.5,18552,24635,163,1235,299,5944
Hyundai,Elantra,5,automatic,75,Sedan,4.8,9602,14477,304,1805,184,6012
Hyundai,Elantra,5,automatic,50,Sedan,4.2,10763,14320,446,1818,283,5736
Infiniti,G Coupe,5,automatic,47,G Coupe,4.9,21969,29041,499,2496,306,5519
Infiniti,G Sedan,5,automatic,77,G Sedan,3.8,19819,27911,310,3192,299,5641
Hyundai,Santa Fe,7,automatic,46,SUV,4.2,23245,29730,347,2669,372,5541
Hyundai,Elantra Coupe,5,automatic,57,Elantra Coupe,4.6,2355,3103,227,3876,138,4494
Infiniti,G Sedan,5,automatic,65,G Sedan,5.0,22951,27344,346,1890,320,5916
Hyundai,Elantra,5,automatic,48,Sedan,4.1,9223,13669,356,3435,265,6677
Hyundai,Equus,5,automatic,74,Sedan,3.8,33655,44111,264,3932,219,5112
Hyundai,Elantra,5,automatic,80,Sedan,3.8,10840,12510,308,2417,299,5565
Infiniti,G Sedan,5,automatic,64,G Sedan,4.3,19852,30464,362,2799,387,5174
Hyundai,Sonata Hybrid,5,Automatic,46,Sedan,4.2,12747,20240,144,1944,215,4272
Infiniti,G Sedan,5,automatic,74,G Sedan,3.8,21710,28868,455,2863,245,4355
Hyundai,Accent,5,automatic,43,Hatchback,4.4,10784,14641,436,1491,386,4753
Infiniti,G Sedan,5,automatic,70,G Sedan,3.6,19562,26637,194,2840,113,4963
Infiniti,G Sedan,5,automatic,42,G Sedan,3.6,22141,33368,417,2324,353,5196
Infiniti,G Sedan,5,automatic,64,G Sedan,4.0,20825,29640,241,2690,336,4849
Infiniti,G Sedan,5,automatic,54,G Sedan,4.8,21915,30343,466,1836,378,5335
Hyundai,Sonata Hybrid,5,automatic,44,Sedan,3.8,14440,17395,159,1894,348,6360
Hyundai,Sonata,5,automatic,62,Sedan,4.2,12369,17573,265,3106,378,5906
Infiniti,G Sedan,5,automatic,48,G Sedan,4.1,21682,28525,121,1941,380,6643
Infiniti,G Sedan,5,automatic,80,G Sedan,4.6,19521,23919,413,3737,207,6072
Infiniti,G Sedan,5,automatic,80,G Sedan,4.0,22658,25247,386,3250,153,6956
Infiniti,G Sedan,5,automatic,75,G Sedan,4.6,19572,27518,149,1721,237,6159
Hyundai,Elantra,5,automatic,48,Sedan,5.0,6759,8437,482,3148,134,5849
Hyundai,Elantra,5,automatic,79,Sedan,4.1,11350,17695,375,3249,205,5846
Infiniti,G Sedan,5,automatic,62,G Sedan,4.9,17858,26849,195,3224,378,4569
Hyundai,Veloster,5,automatic,61,Hatchback,4.7,9381,14196,267,3078,243,5382
Hyundai,Elantra,5,automatic,62,Sedan,4.9,7752,10981,163,2358,121,5528
Hyundai,Sonata,5,automatic,80,Sedan,3.8,12608,15462,288,2699,288,4925
Hyundai,Sonata,5,automatic,54,Sedan,4.6,8687,13058,442,2766,136,4137
Hyundai,Santa Fe,7,automatic,73,SUV,4.9,20111,28638,427,2817,363,6567
Infiniti,G Sedan,5,automatic,42,G Sedan,4.7,17589,24933,491,3067,252,6945
Hyundai,Genesis Coupe,5,automatic,70,Genesis Coupe,4.3,21418,26256,424,2705,90,4747
Hyundai,Sonata Hybrid,5,automatic,47,Sedan,4.2,17412,23655,369,2200,299,6806
Hyundai,Santa Fe,7,automatic,41,SUV,4.3,15460,19590,483,3396,399,5146
Hyundai,Genesis,5,automatic,43,Sedan,4.3,23861,31529,295,3958,285,5930
Infiniti,G Sedan,5,automatic,68,G Sedan,4.0,21529,31063,218,3462,193,6304
Hyundai,Sonata,5,automatic,58,Sedan,4.6,11012,14415,307,3807,323,6516
Hyundai,Sonata,5,automatic,58,Sedan,4.5,9499,13680,495,2699,358,5423
Hyundai,Accent,5,manual,54,Hatchback,3.8,8331,11346,125,3119,371,6927
Infiniti,G Sedan,5,automatic,79,G Sedan,3.6,19992,29670,150,3909,95,4412
